URL,Variable Name,Variable Value,unitId,Banner Ad,Video Ad,Native Ad,Size Labels,Div ID,AppNexus placementId,AppNexus placement,NewsConnect placementId,NewsConnect placement,unit,delDomain,Rubicon accountId,Rubicon siteId,Rubicon zoneId,position,accountId,siteId,zoneId,position,accountId,siteId,zoneId,position,placementId,placementId
nypost.com,,nypost.com-article/sports,/5850/post.mobileapp/inline_2/sports/stories,yes,,,Mobile_Big,div-gpt-ad-inline_2,18981766,nypost.com-article/sports-div-gpt-ad-inline_2,18981894,nypost.com-article/sports-div-gpt-ad-inline_2,,,11076,320190,1655012,,,,,,,,,,,
nypost.com,,nypost.com-article/tech,/5850/post.mobileapp/inline_2/tech/stories,yes,,,Mobile_Big,div-gpt-ad-inline_2,18981767,nypost.com-article/tech-div-gpt-ad-inline_2,18981895,nypost.com-article/tech-div-gpt-ad-inline_2,,,11076,320190,1655014,,,,,,,,,,,
nypost.com,,nypost.com-article/business,/5850/post.mobileapp/inline_3/business/stories,yes,,,Mobile_Big,div-gpt-ad-inline_3,18981768,nypost.com-article/business-div-gpt-ad-inline_3,18981896,nypost.com-article/business-div-gpt-ad-inline_3,,,11076,320198,1655024,,,,,,,,,,,
nypost.com,,nypost.com-article/entertainment,/5850/post.mobileapp/inline_3/entertainment/stories,yes,,,Mobile_Big,div-gpt-ad-inline_3,18981769,nypost.com-article/entertainment-div-gpt-ad-inline_3,18981897,nypost.com-article/entertainment-div-gpt-ad-inline_3,,,11076,320198,1655030,,,,,,,,,,,
nypost.com,,nypost.com-article/fashion,/5850/post.mobileapp/inline_3/fashion/stories,yes,,,Mobile_Big,div-gpt-ad-inline_3,18981770,nypost.com-article/fashion-div-gpt-ad-inline_3,18981898,nypost.com-article/fashion-div-gpt-ad-inline_3,,,11076,320198,1655034,,,,,,,,,,,
nypost.com,,nypost.com-article/living,/5850/post.mobileapp/inline_3/living/stories,yes,,,Mobile_Big,div-gpt-ad-inline_3,18981771,nypost.com-article/living-div-gpt-ad-inline_3,18981899,nypost.com-article/living-div-gpt-ad-inline_3,,,11076,320198,1655038,,,,,,,,,,,
nypost.com,,nypost.com-article/media,/5850/post.mobileapp/inline_3/media/stories,yes,,,Mobile_Big,div-gpt-ad-inline_3,18981772,nypost.com-article/media-div-gpt-ad-inline_3,18981900,nypost.com-article/media-div-gpt-ad-inline_3,,,11076,320198,1655054,,,,,,,,,,,
nypost.com,,nypost.com-article/metro,/5850/post.mobileapp/inline_3/metro/stories,yes,,,Mobile_Big,div-gpt-ad-inline_3,18981773,nypost.com-article/metro-div-gpt-ad-inline_3,18981901,nypost.com-article/metro-div-gpt-ad-inline_3,,,11076,320198,1655078,,,,,,,,,,,
nypost.com,,nypost.com-article/news,/5850/post.mobileapp/inline_3/news/stories,yes,,,Mobile_Big,div-gpt-ad-inline_3,18981774,nypost.com-article/news-div-gpt-ad-inline_3,18981902,nypost.com-article/news-div-gpt-ad-inline_3,,,11076,320198,1655084,,,,,,,,,,,
nypost.com,,nypost.com-article/opinion,/5850/post.mobileapp/inline_3/opinion/stories,yes,,,Mobile_Big,div-gpt-ad-inline_3,18981775,nypost.com-article/opinion-div-gpt-ad-inline_3,18981903,nypost.com-article/opinion-div-gpt-ad-inline_3,,,11076,320198,1655086,,,,,,,,,,,
nypost.com,,nypost.com-article/real-estate,/5850/post.mobileapp/inline_3/real-estate/stories,yes,,,Mobile_Big,div-gpt-ad-inline_3,18981776,nypost.com-article/real-estate-div-gpt-ad-inline_3,18981904,nypost.com-article/real-estate-div-gpt-ad-inline_3,,,11076,320198,1655090,,,,,,,,,,,
nypost.com,,nypost.com-article/sports,/5850/post.mobileapp/inline_3/sports/stories,yes,,,Mobile_Big,div-gpt-ad-inline_3,18981777,nypost.com-article/sports-div-gpt-ad-inline_3,18981905,nypost.com-article/sports-div-gpt-ad-inline_3,,,11076,320198,1655094,,,,,,,,,,,
nypost.com,,nypost.com-article/tech,/5850/post.mobileapp/inline_3/tech/stories,yes,,,Mobile_Big,div-gpt-ad-inline_3,18981778,nypost.com-article/tech-div-gpt-ad-inline_3,18981906,nypost.com-article/tech-div-gpt-ad-inline_3,,,11076,320198,1655104,,,,,,,,,,,
nypost.com,,nypost.com-article/business,/5850/post.mobileapp/inline_4/business/stories,yes,,,Mobile_Big,div-gpt-ad-inline_4,18981779,nypost.com-article/business-div-gpt-ad-inline_4,18981907,nypost.com-article/business-div-gpt-ad-inline_4,,,11076,320218,1655114,,,,,,,,,,,
nypost.com,,nypost.com-article/entertainment,/5850/post.mobileapp/inline_4/entertainment/stories,yes,,,Mobile_Big,div-gpt-ad-inline_4,18981780,nypost.com-article/entertainment-div-gpt-ad-inline_4,18981908,nypost.com-article/entertainment-div-gpt-ad-inline_4,,,11076,320218,1655120,,,,,,,,,,,
nypost.com,,nypost.com-article/fashion,/5850/post.mobileapp/inline_4/fashion/stories,yes,,,Mobile_Big,div-gpt-ad-inline_4,18981781,nypost.com-article/fashion-div-gpt-ad-inline_4,18981909,nypost.com-article/fashion-div-gpt-ad-inline_4,,,11076,320218,1655122,,,,,,,,,,,
nypost.com,,nypost.com-article/living,/5850/post.mobileapp/inline_4/living/stories,yes,,,Mobile_Big,div-gpt-ad-inline_4,18981782,nypost.com-article/living-div-gpt-ad-inline_4,18981910,nypost.com-article/living-div-gpt-ad-inline_4,,,11076,320218,1655126,,,,,,,,,,,
nypost.com,,nypost.com-article/media,/5850/post.mobileapp/inline_4/media/stories,yes,,,Mobile_Big,div-gpt-ad-inline_4,18981783,nypost.com-article/media-div-gpt-ad-inline_4,18981911,nypost.com-article/media-div-gpt-ad-inline_4,,,11076,320218,1655130,,,,,,,,,,,
nypost.com,,nypost.com-article/metro,/5850/post.mobileapp/inline_4/metro/stories,yes,,,Mobile_Big,div-gpt-ad-inline_4,18981784,nypost.com-article/metro-div-gpt-ad-inline_4,18981912,nypost.com-article/metro-div-gpt-ad-inline_4,,,11076,320218,1655134,,,,,,,,,,,
